CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
364,Spain,Male,52,6,36189.72298749274,2,1,1,133468.24094217073,1
650,Spain,Male,42,4,0.0,1,1,0,156951.79668421482,1
414,France,Female,66,7,0.0,1,1,1,27613.326018239604,0
694,France,Female,32,7,14548.498649207138,2,0,0,154578.03011371664,1
676,France,Female,36,4,38844.65782776156,2,0,1,196741.2790557387,0
358,Germany,Male,36,6,177784.81257435778,2,0,0,134924.1566360911,1
693,Spain,Female,40,5,12287.083675516054,2,1,0,150995.90370591675,0
478,France,Male,28,7,157031.5576828782,1,1,0,196109.03680164632,1
841,France,Male,38,8,0.0,1,1,1,84342.19738159793,0
485,France,Male,69,4,117205.16078820796,2,1,1,166593.91756172248,0
821,Spain,Male,51,6,49605.07548459042,1,0,0,85941.58036373951,1
412,France,Male,56,0,176831.25261704403,1,0,0,90924.53716667369,1
488,France,Female,68,7,0.0,1,0,0,135065.95813681907,1
848,Germany,Female,24,2,42909.18351906973,2,0,1,58719.64005586742,1
430,Spain,Female,59,0,91514.29257295297,2,1,0,198628.54570996197,1
741,Germany,Male,61,5,47034.27327140801,1,1,0,72553.99769780919,1
512,Germany,Female,44,7,81441.48981468567,2,1,1,33341.49268308039,0
768,France,Male,67,2,104370.67649192286,2,1,1,71285.27083169695,0
638,Germany,Female,40,0,78381.16904338948,2,1,1,172633.58375491571,1
728,Germany,Female,55,2,134838.4120738132,2,1,1,69646.3271640163,1
610,Spain,Female,37,4,0.0,1,0,1,126157.56683349404,0
839,France,Female,44,7,76148.37605292306,1,0,0,187710.8400565571,1
580,France,Female,25,8,77590.50762893229,1,1,0,59393.550724877794,0
390,France,Female,54,8,0.0,2,1,0,34959.41233439966,1
377,France,Male,20,3,110812.2769890061,2,0,0,28401.16747399259,0
484,Spain,Male,19,7,0.0,3,1,0,93669.9580804842,0
550,France,Male,39,4,0.0,1,1,1,29814.473498358755,0
677,France,Male,23,2,179296.85276636813,2,0,1,96223.59741935172,0
617,France,Male,56,4,122211.45514896489,2,1,0,173916.21843861789,1
767,France,Female,57,1,45169.62182354616,2,0,0,157721.92732734003,1
382,France,Male,53,5,98594.31891037579,1,0,1,120523.16215375302,1
397,France,Male,61,0,0.0,1,1,0,171580.2761624788,1
756,France,Male,41,5,0.0,1,0,0,29051.309107062556,0
411,Germany,Male,29,4,59862.05698442302,2,0,0,125789.36223365729,1
565,Germany,Male,34,8,99741.14346753235,2,1,1,31971.86047593169,0
642,France,Male,39,6,0.0,1,1,1,101606.4881410368,0
448,Spain,Male,36,5,49803.76955086835,1,0,0,98057.85170086553,0
521,Germany,Male,26,6,181651.82394385236,1,0,1,60379.51933693447,1
709,Spain,Male,29,9,178214.7806610189,2,0,1,167672.3811283482,0
563,France,Female,49,4,154327.12140561204,2,0,0,53363.256527884,1
824,France,Male,48,0,0.0,3,1,1,114859.90678533941,0
384,France,Male,34,8,0.0,2,0,0,101629.65555598041,0
798,France,Female,40,4,146128.42170523325,1,0,0,92013.92013985211,1
576,France,Female,27,3,125542.65465058308,1,0,1,16373.008153807437,0
450,Spain,Male,47,5,0.0,1,1,0,142379.4332670923,1
780,France,Male,36,4,33581.190224022765,1,1,0,12410.215232269727,1
811,France,Male,43,0,127473.91825613519,2,0,0,165903.9687882636,1
480,Germany,Female,43,1,0.0,1,0,1,60614.97149035784,1
606,France,Male,28,3,26305.129427382348,1,1,1,32801.03199432369,0
354,Germany,Female,37,7,0.0,2,0,1,89237.72831639988,1
567,Germany,Female,62,4,0.0,1,1,1,116278.50444546684,1
604,Spain,Female,21,6,140341.80401798253,1,1,0,68968.90513240505,1
747,Spain,Female,64,1,0.0,2,0,1,33139.106859648324,1
708,France,Female,29,7,0.0,2,0,0,13482.182050572037,0
632,Germany,Male,42,4,17703.667877548778,1,0,0,143724.51615299494,1
742,Spain,Male,27,3,172961.03669337608,2,0,0,178422.80079586312,0
556,Spain,Female,39,8,15253.833614398478,2,0,0,29099.000389154025,0
364,France,Female,24,5,0.0,2,1,1,53820.41565303089,0
695,Spain,Female,41,3,0.0,2,0,1,13843.540466141165,0
391,France,Female,19,7,173431.2430687179,2,1,0,178162.5846784033,0
729,Spain,Male,49,2,0.0,1,0,1,94500.3243554818,1
810,France,Female,38,9,31985.817385298287,1,0,1,185787.08960069375,0
528,Germany,Female,24,1,110025.71205722002,2,0,0,98938.87276366632,1
412,Spain,Male,25,6,24659.607042541204,2,1,1,173814.79020831818,0
701,France,Male,68,3,0.0,1,1,1,190833.7213677994,0
580,France,Male,55,3,0.0,2,1,0,73678.81789318993,1
590,France,Male,38,9,22043.767777226232,1,0,1,131735.1004850283,0
401,Spain,Female,25,8,179666.16312638405,2,1,1,136619.80057813472,0
445,Spain,Female,42,1,34007.548422728374,2,1,1,14067.659687074127,0
737,Germany,Female,45,0,129574.76017234151,1,1,0,93263.54131129228,1
571,Germany,Female,45,6,128891.94226699685,2,0,0,172512.2895756354,1
834,Spain,Female,48,7,0.0,2,1,1,189794.1998696502,0
756,France,Female,69,2,0.0,1,1,1,180851.9660078522,1
580,France,Female,53,1,0.0,2,0,0,194850.60728473234,1
586,Germany,Female,42,3,181967.93048304497,1,1,1,134077.95386608093,1
492,France,Female,69,1,190174.09912821156,1,0,0,54231.88316472693,1
520,France,Male,58,1,190307.87471694231,2,1,0,119322.61251512221,1
378,France,Female,54,4,153039.14164432735,2,1,1,90017.3517572293,0
385,France,Male,55,9,58222.951009276774,1,0,1,59143.98934161389,0
362,Spain,Male,68,4,32924.51684394902,2,1,0,156829.36750259818,1
509,France,Male,29,7,118278.14565930214,1,0,1,129547.75868413597,0
676,Germany,Male,54,8,0.0,2,1,1,160119.7996000301,1
536,France,Female,54,1,0.0,1,0,0,61203.22688517792,1
592,France,Male,48,0,151548.1099971828,2,1,0,181738.06366748165,1
435,France,Male,35,2,62528.97627294821,2,1,0,55355.610584642636,0
633,Spain,Female,43,5,13232.89440104847,1,0,1,124365.25861812886,0
415,Germany,Male,23,4,55089.99420067327,1,0,0,20809.986045949612,1
519,Spain,Female,26,7,117751.96100603063,1,1,1,112783.21099870787,0
394,Germany,Female,28,7,25009.519720392884,2,0,1,28757.447865521335,0
411,Germany,Female,48,1,135071.79394615683,1,1,1,73120.8300461641,1
790,Germany,Female,63,8,137622.29410673695,2,0,1,173530.95915254083,1
483,Spain,Male,19,3,0.0,1,0,1,179770.18987670503,0
633,Spain,Female,46,0,0.0,1,0,1,155786.7207975544,1
377,France,Male,63,1,125324.5713126344,2,0,0,79863.72046182903,1
457,Germany,Male,68,5,100815.84780727026,2,1,1,119957.33484795972,1
393,Germany,Female,59,4,191116.7034304861,2,0,0,52556.00361591612,1
689,Germany,Male,22,6,30551.00425671492,2,1,1,138886.34707741067,1
635,France,Female,40,8,87258.8770535548,3,1,0,76006.57349622283,0
795,Spain,Male,53,5,177754.9467281006,1,1,1,51989.73436506511,0
680,Spain,Male,24,5,83399.66331732577,1,1,1,121144.36800097518,0
477,France,Male,30,1,0.0,1,1,1,31242.416359835657,0
697,Spain,Male,59,6,0.0,2,1,1,140472.80631720193,0
822,France,Female,27,1,136457.07442012057,1,1,1,45531.03073645023,0
580,France,Female,53,6,0.0,2,0,0,115156.51858680608,1
539,France,Male,33,7,0.0,2,1,1,84576.61233091286,0
574,France,Male,32,0,73367.25049269779,2,1,1,117586.49504628575,0
734,Spain,Male,60,8,0.0,1,1,0,56732.75525701784,1
726,France,Male,36,7,115583.43998210158,1,1,0,68973.9705708056,1
632,France,Female,38,8,0.0,1,1,0,36661.00791827619,1
795,France,Male,52,4,134215.80343614076,1,0,1,157623.47264132582,1
470,France,Male,32,3,0.0,1,0,1,23321.28469875075,0
465,France,Male,65,0,56828.30526814512,1,1,0,81522.55738378798,1
810,Germany,Female,31,8,80353.6550543991,2,0,0,95328.39002853785,1
582,France,Male,46,3,55972.10750197186,3,1,1,47089.180244660165,0
608,Spain,Female,22,3,139733.5347855467,3,0,1,83116.10695133402,0
708,Spain,Female,66,3,0.0,1,1,1,89436.76200740835,0
547,France,Male,35,1,51113.53126198953,2,1,1,52622.77428727457,0
805,Spain,Male,68,3,177979.91367194132,2,0,1,131458.59099417937,1
760,France,Male,18,1,97525.89686351566,2,1,0,15862.261007425775,0
486,France,Female,44,7,34140.112425416606,2,0,1,47537.28612944988,0
667,France,Female,44,6,0.0,3,0,0,128574.2445777002,0
514,France,Male,42,9,0.0,1,0,1,129230.21378051749,0
574,Germany,Female,58,1,0.0,2,1,1,60399.893794395946,1
656,Spain,Male,38,1,171732.16795294898,2,1,1,139779.35541075145,0
583,France,Male,31,1,103999.72740641233,1,1,1,99259.87487030118,0
521,Germany,Male,69,0,0.0,1,1,1,110176.86586607898,1
501,France,Male,37,5,0.0,1,0,0,73195.96902222,1
812,Spain,Male,45,5,0.0,2,0,0,197011.7410827419,0
664,France,Male,38,0,0.0,2,0,0,150103.57312673712,1
723,France,Female,40,0,65656.79035587185,2,0,0,57201.68090830292,0
509,France,Female,28,5,35780.643299904725,2,0,0,54947.02312214027,0
445,France,Female,19,5,96762.50021585762,1,0,0,157092.96376317454,1
821,Germany,Male,37,3,192653.5030022473,2,1,0,83722.07490059022,1
582,Spain,Male,41,2,130357.76584563089,1,1,1,27387.27149510342,0
529,France,Male,42,8,132355.62449574546,1,0,1,16763.98346706887,0
462,Germany,Female,54,5,137585.23836081184,2,1,0,88651.64316272875,1
667,Germany,Male,39,0,17554.66136282027,2,0,0,88794.52854325103,1
846,Spain,Female,41,2,0.0,2,0,1,144302.77340329782,0
791,France,Male,32,0,0.0,1,1,0,119206.61449077843,0
401,France,Female,29,2,70013.17758067121,1,1,1,156322.82554880148,0
617,Spain,Male,63,1,166103.8146240067,2,1,0,70372.92549511966,1
644,Germany,Male,48,4,134691.29044813555,1,1,1,128607.77977316052,1
735,France,Female,60,2,199158.81275970986,1,1,1,178283.52964462616,1
736,France,Female,48,6,0.0,1,1,0,23164.540214111872,1
462,France,Female,47,7,85440.30487523042,1,1,0,144605.75325339354,1
450,Germany,Male,58,6,163831.64110135756,1,1,1,146017.77213475227,1
462,Germany,Female,37,1,50981.404454750584,1,1,0,160865.75513683882,1
789,France,Female,25,9,39207.15080253375,2,1,0,61118.99075877513,0
430,Germany,Male,61,9,91246.38582882695,1,0,1,89138.96859466143,1
536,Germany,Male,47,6,0.0,1,1,1,55544.58561569723,1
462,Germany,Female,52,9,0.0,2,1,0,68630.55912331244,1
351,Germany,Male,38,2,96687.79051506365,1,0,1,194016.61357193586,1
479,Spain,Female,64,6,173579.80518952318,1,1,0,94674.26145065653,1
569,France,Female,57,0,0.0,1,1,1,171224.96499469728,1
403,Spain,Female,45,1,39995.62567793776,1,0,0,161027.17225686304,1
692,France,Male,56,9,145907.9122372064,1,1,0,94459.94573368249,1
834,France,Female,34,0,0.0,2,0,0,198514.03485815492,0
573,France,Female,29,8,0.0,1,0,1,169748.2986000921,0
574,France,Male,69,1,176193.93310930152,1,0,1,101712.06137978254,1
734,France,Female,67,1,0.0,1,0,1,68844.0794116396,0
752,France,Female,35,5,0.0,1,1,1,24305.964752784414,0
475,Spain,Female,64,6,0.0,1,1,0,98311.98196029484,1
479,France,Male,45,1,0.0,1,1,0,78401.88165147793,1
402,Germany,Female,20,3,92555.64258543857,2,1,1,145161.60781589078,0
521,France,Male,68,2,91375.63595246353,1,0,0,13738.889211958798,1
567,Spain,Male,32,4,87662.80888512476,4,0,1,167975.05684859637,0
509,Germany,Female,33,8,184096.57195975006,3,0,0,89159.34618036974,1
547,France,Female,39,1,74552.80945220415,2,1,1,99249.19058632829,0
765,Spain,Male,66,4,15771.99258538977,2,0,0,44730.13380263007,1
596,Germany,Female,48,7,43903.031185747495,2,0,1,188121.59933719417,1
673,Spain,Female,48,5,147084.44454896002,1,0,1,85693.5677314079,1
788,Germany,Male,18,3,122263.13519975712,1,0,0,170117.7115572347,1
552,Germany,Female,28,9,190829.61271082525,1,1,0,55116.156892368504,1
533,Spain,Female,23,7,0.0,2,1,1,28364.82933326049,0
472,France,Male,40,2,0.0,1,1,0,130794.58427706397,0
750,France,Female,26,3,32922.401539187595,2,0,1,197039.1330808916,0
604,Spain,Male,69,8,0.0,1,0,1,132918.89821571036,1
643,France,Male,33,4,0.0,2,1,1,125655.49343426828,0
629,France,Female,55,5,41470.98021402191,1,0,1,94023.8364246865,0
674,France,Male,61,1,124321.67197271647,2,0,0,63922.246026589186,1
721,France,Female,36,8,174355.4499466349,2,1,0,91858.31894231318,0
447,Spain,Female,62,7,148238.09633767843,1,1,0,38301.819590561165,1
547,France,Male,30,6,136196.30536754342,2,1,0,59762.285417752624,0
819,France,Male,49,8,0.0,1,1,1,102603.22985303836,1
744,Germany,Male,53,4,29775.71472020888,1,1,1,37511.15634031581,1
589,Spain,Male,26,4,48727.97660412695,3,0,1,160391.04569238902,0
493,France,Male,63,8,17238.904434899923,1,1,0,12196.650819396486,1
446,France,Male,63,4,37545.80963108379,1,1,0,71102.75069058858,1
550,Spain,Female,66,8,183504.64510721003,1,1,1,108163.77748054682,1
473,Germany,Female,54,0,52207.53630428949,2,1,0,186500.0827234674,1
536,France,Male,48,9,135798.47110571398,2,0,0,118955.91978075808,1
675,France,Female,48,9,141397.77733572188,2,0,0,66031.75544282899,1
813,France,Male,36,7,0.0,2,1,1,76916.2305957627,0
698,France,Male,19,2,115244.99925981404,1,0,1,74440.20053664196,0
608,France,Female,62,7,102364.76601489425,1,0,0,44270.18211948098,1
497,Spain,Female,49,4,89784.95993835991,2,1,1,37521.24860741671,1
601,France,Male,60,1,184210.7523574741,2,0,1,101320.73114988014,0
792,Germany,Male,51,8,0.0,1,1,1,61349.59781597762,1
769,France,Male,18,3,20163.02894511391,1,0,1,27450.144958947825,0
752,Spain,Female,38,6,103577.36844550322,2,1,0,51130.94479615276,0
695,Germany,Male,20,7,72796.91554279669,2,0,0,108937.95398335943,1
800,France,Male,44,6,0.0,2,1,1,58809.713386669755,0
496,Germany,Female,61,5,0.0,1,0,1,55171.0146599538,1
497,France,Female,24,6,157275.59284728183,2,0,1,127924.73419426497,0
701,Spain,Female,50,3,176707.51163776274,1,0,1,140989.10940650594,0
548,Spain,Male,26,9,80029.16720666668,2,1,0,55836.71885730854,0
657,France,Male,47,0,55516.4836011736,2,0,0,99706.84456013024,1
838,France,Female,35,4,155918.18898126477,1,0,0,155267.68307394115,0
766,France,Male,43,7,0.0,1,1,1,141081.80913476535,0
773,Germany,Male,37,9,114480.70473509564,2,0,1,23165.237737401338,0
477,France,Female,55,5,0.0,2,0,0,78413.4527473507,1
388,France,Female,58,4,193791.79879111188,2,1,0,147422.38145729163,1
687,France,Male,48,1,99493.92890194892,2,0,0,44093.12318033434,1
709,France,Female,25,9,52306.666878339114,1,1,1,47226.16468675472,0
478,Germany,Female,40,4,108251.49033974961,2,1,1,129732.62447866055,1
616,France,Male,67,9,198011.312498371,2,1,1,63912.68118021334,1
825,Germany,Male,42,2,65656.10333978519,1,1,1,71512.5811714674,1
790,France,Male,64,1,0.0,2,1,0,109334.96765549642,1
822,France,Male,18,2,141856.89617328995,2,1,1,152610.31723016742,0
783,Germany,Male,63,3,0.0,2,0,1,104674.8840788644,1
500,Spain,Male,35,1,121807.23333621149,1,1,0,179751.1073590962,0
764,Spain,Female,36,3,0.0,1,1,0,30261.755557974713,0
827,France,Female,68,3,0.0,4,1,1,153288.3533409154,0
647,France,Female,59,5,145803.1784341484,1,0,0,113291.25675820898,1
448,Spain,Male,69,4,0.0,1,1,0,165170.4375818256,1
612,France,Male,23,6,0.0,2,0,0,70116.61958547462,0
601,France,Male,34,6,16569.194080257854,1,1,0,101599.27492141703,1
493,Spain,Male,63,2,171599.88011387622,1,1,1,166483.56675894305,0
695,Spain,Male,62,8,0.0,1,1,0,168038.46283812885,1
461,Spain,Female,25,6,44147.25826330824,3,0,0,81438.1893223986,0
849,Spain,Male,59,6,27460.11940078793,1,1,0,166217.23909308534,1
409,Spain,Female,26,1,108135.15315084734,2,0,0,139655.70167628562,1
718,France,Male,54,9,38524.3109962697,2,0,1,87791.60945024765,1
351,France,Female,44,2,0.0,1,0,0,194244.04327110108,0
734,Germany,Female,53,2,148188.24307742147,1,0,1,15869.921008336167,1
653,Germany,Female,23,5,0.0,1,1,1,82705.94886716649,1
603,France,Female,23,3,0.0,3,0,0,68321.00260803063,0
489,France,Female,62,3,39558.22862377118,2,1,1,187794.48513316075,1
802,France,Female,21,0,103851.1599175948,2,1,0,28896.114859811012,1
386,Germany,Female,39,5,41006.18728346012,1,0,0,129324.64549659466,1
509,France,Male,57,7,176421.36602484382,1,1,0,146159.32481703255,1
358,France,Male,44,7,187125.46250671626,2,1,0,44993.406565360405,1
582,Germany,Female,54,7,0.0,2,0,1,38490.027681546126,1
448,Germany,Male,19,4,0.0,2,1,0,19087.953308598146,1
496,France,Male,26,9,63070.058131557256,2,1,0,40186.288090779664,0
653,Germany,Female,28,5,0.0,2,0,0,163560.85688978873,1
557,Germany,Male,37,4,139663.9656790626,1,0,0,189351.67162629275,1
480,France,Female,69,3,177312.68038422853,2,0,1,181270.22580912546,0
753,France,Male,60,3,32328.197601918782,2,1,0,79407.91119582641,1
501,France,Female,56,3,100445.3062941733,2,0,1,147916.3468084386,0
403,France,Male,31,3,138474.02794836822,2,0,0,167138.29745849484,0
469,Spain,Female,43,5,180447.24454303106,2,0,1,164372.2428212,0
510,France,Male,55,5,0.0,2,1,0,21910.13973337457,1
757,Germany,Male,47,4,0.0,1,0,0,50817.77096451791,1
465,France,Male,53,8,183463.48474531068,1,1,0,188399.53683305238,1
424,France,Female,55,7,0.0,2,1,1,150582.1715661607,0
462,Germany,Female,52,9,101123.14307256021,2,0,1,168526.9569099377,1
805,France,Male,23,5,0.0,1,1,0,107683.4168166796,1
769,France,Male,20,8,0.0,2,1,1,84680.64920941931,0
771,France,Female,18,4,0.0,1,1,1,133732.49406634527,0
453,France,Male,35,9,147293.95059686183,1,0,1,99842.7775211677,0
689,Germany,Male,40,3,0.0,1,1,1,81014.80140098975,1
603,France,Female,49,5,0.0,1,1,0,76096.35702453976,1
576,Spain,Female,46,3,0.0,1,0,0,40002.32891379586,1
461,Germany,Male,40,7,0.0,2,1,0,110588.50596847905,1
822,France,Female,53,6,158076.95104675315,2,0,1,108770.84843767954,0
448,France,Male,23,4,170805.22475022555,2,1,1,122246.21445116437,0
502,France,Male,34,9,0.0,1,0,1,32082.4944980548,0
698,Spain,Female,35,5,0.0,1,0,1,183835.36952035688,0
751,France,Male,48,6,196267.31506517454,1,1,0,150990.663399841,1
733,Spain,Female,23,1,151984.0084038417,1,0,0,34883.17902140357,1
715,France,Female,51,8,135689.28472177597,2,1,1,25075.34931969307,0
687,Spain,Male,61,6,0.0,1,1,1,132154.92777740982,1
543,France,Female,61,7,181015.54708724696,1,0,0,74885.51670701729,1
659,Spain,Male,44,4,139771.5486637417,1,1,1,70619.22519301655,0
512,France,Female,53,2,154628.98248005804,2,1,1,169598.30161475434,0
